codigo;nombre;acronimo;curso;semestre;tipo;creditos
93000651;FUNDAMENTOS DE CELULAS SOLARES;;1;1S;obl;4
93000652;ENERGIA Y SOCIEDAD;;1;1S;obl;4
93000653;LABORATORIO DE MODULOS E INSTALACIONES FOTOVOLTAICAS;;1;2S;obl;4
93000654;LABORATORIO DE CARACTERIZACION DE CELULAS SOLARES;;1;1S;obl;4
93000655;INGENIERIA DE LOS SISTEMAS FOTOVOLTAICOS;;1;2S;obl;4
93000656;INGENIERIA ELECTRICA DE LOS SISTEMAS FOTOVOLTAICOS;;1;1S;opt;4
93000657;LABORATORIO DE TECNOLOGIA DE CELULAS SOLARES;;1;1S;opt;6
93000658;FISICA DE MATERIALES FOTOVOLTAICOS;;1;1S;opt;4
93000659;INGENIERIA OPTICA;;1;1S;opt;5
93000661;SISTEMAS CONECTADOS A LA RED ELECTRICA;;1;2S;opt;4
93000663;CELULAS SOLARES DE NUEVA GENERACION;;1;2S;opt;3
93000664;INTEGRACION ARQUITECTONICA DE LA ENERGIA SOLAR FOTOVOLTAICA;;1;2S;opt;2
93000665;LABORATORIO DE SISTEMAS FOTOVOLTAICOS DE CONCENTRACION;;1;2S;opt;4
93000666;LABORATORIO DE SIMULACION DE CELULAS Y SISTEMAS;;1;2S;opt;4
93000667;LABORATORIO DE INGENIERIA ELECTRICA FOTOVOLTAICA;;1;2S;opt;4
93000668;LABORATORIO COMPUTACIONAL DE MATERIALES FOTOVOLTAICOS;;1;2S;opt;4
93000669;SEMINARIO DE ACTUALIDAD ENERGETICA;;1;1S;opt;4
93000670;SEMINARIO SOBRE MERCADO FOTOVOLTAICO, FINANCIACION Y GESTION;;1;2S;opt;4
93000673;INTEGRACION ARQUITECTONICA DE LA ENERGIA SOLAR FOTOVOLTAICA. SEMINARIO;;1;2S;opt;1
93000674;TRABAJO FIN DE MASTER;;1;I;obl;15
93000791;SISTEMAS DE COMUNICACIONES;SCOM;1;1S-2S;obl;6
93000792;ANÁLISIS DE SEÑAL PARA COMUNICACIONES;ASEC;1;1S-2S;obl;6
93000793;TECNOLOGIAS DE ACCESO RADIO;TACR;1;1S-2S;obl;3
93000794;SISTEMAS Y SERVICIOS MULTIMEDIA;SSMM;1;1S-2S;obl;6
93000795;EQUIPOS Y TERMINALES DE USUARIO;EYTU;1;1S-2S;obl;6
93000796;INGENIERÍA DE SISTEMAS DE INSTRUMENTACIÓN;ISIN;1;1S-2S;obl;6
93000797;REDES DE COMUNICACIONES;RECM;1;2S;obl;6
93000798;APLICACIONES Y SERVICIOS;APSV;1;1S;obl;6
93000799;INTEGRACION DE REDES, APLICACIONES Y CONTENIDOS;IRAC;1;2S;obl;6
93000800;GESTION DE PROYECTOS;GPRO;1;1S;obl;6
93000801;VISIÓN ESTRATÉGICA DE LA INTEGRACIÓN DE TECNOLOGÍAS Y SISTEMAS EN EL SECTOR TIC;VETIC;1;1S-2S;obl;3
93000802;ARQUITECTURAS AVANZADAS DE TRANSMISION/RECEPCION;AQTR;2;2S;opt;6
93000803;ANTENAS;ANTE;2;1S;opt;6
93000804;CIRCUITOS DE ALTA FRECUENCIA;CAFR;2;1S;opt;6
93000805;TALLER DE TECNOLOGIAS DE ALTA FRECUENCIA;TTAF;2;2S;opt;6
93000806;MEDIA DATA SYSTEM DESIGN;EPAV;2;2S;opt;6
93000807;TELEVISIÓN;TEVI;2;;opt;6
93000808;TRANSMISION Y RECEPCION DE IMAGEN Y SONIDO;TRIS;2;1S;opt;6
93000809;TALLER DE SISTEMAS AUDIOVISUALES;TTAF;2;;opt;6
93000810;COMUNICACIONES MÓVILES;CMOV;2;2S;opt;6
93000811;COMUNICACIONES POR SATÉLITE;CSAT;2;1S;opt;6
93000812;COMUNICACIONES POR FIBRA OPTICA;CFOP;2;2S;opt;6
93000813;TALLER DE SISTEMAS DE COMUNICACIONES;TSCO;2;2S;opt;6
93000814;COMUNICACIONES POR SATÉLITE;CSAT;2;1S;opt;6
93000815;SISTEMAS RADAR;SRAD;2;1S;opt;6
93000816;SISTEMAS DE RADIONAVEGACIÓN;SRNV;2;;opt;6
93000817;TALLER DE ESPACIO Y SEGURIDAD;TESG;2;2S;opt;6
93000818;EQUIPOS DE RADIO DEFINIDOS POR SOFTWARE;RADS;2;1S;opt;6
93000819;TRATAMIENTO DE LA SEÑAL ACÚSTICA;TSAC;2;2S;opt;6
93000820;TRATAMIENTO DIGITAL DE VIDEO;TSVD;2;1S;opt;6
93000821;TALLER DE TRATAMIENTO DE SEÑALES;TTSÑ;2;2S;opt;6
93000822;CIENCIA DE DATOS Y APRENDIZAJE AUTOMÁTICO EN LA WEB DE DATOS;SITC;2;2S;opt;6
93000823;TECNOLOGÍAS DE GESTIÓN DE PROCESOS DE NEGOCIO;TGPN;2;1S-2S;opt;6
93000824;CIBERSEGURIDAD Y PRIVACIDAD: GESTIÓN Y OPERACIÓN;SSSI;2;2S;opt;6
